aX,aY,aZ,gX,gY,gZ
-0.722,-0.548,1.635,-30.884,91.614,46.631
-0.127,0.058,0.874,-39.185,109.863,21.179
-0.073,0.134,1.195,-42.725,100.525,-8.179
0.331,0.443,1.193,-40.771,78.308,-16.785
0.508,0.462,1.115,-18.799,51.27,-8.301
0.144,-0.062,1.065,8.24,17.334,0.732
-0.297,-0.513,0.957,21.851,-4.517,6.409
-0.51,-0.543,0.953,20.264,-12.878,5.798
-0.383,-0.305,0.888,13.367,-12.756,3.174
-0.29,-0.201,0.867,8.85,-12.695,0.671
-0.291,-0.241,0.846,6.47,-14.465,-1.709
-0.356,-0.235,0.839,4.517,-15.747,-3.601
-0.463,-0.153,0.874,3.052,-16.235,-4.211
-0.515,-0.074,0.893,3.235,-14.343,-2.93
-0.515,-0.074,0.885,5.188,-11.475,-1.282
-0.487,-0.139,0.867,7.202,-8.057,0.977
-0.466,-0.206,0.852,7.751,-4.944,2.38
-0.464,-0.241,0.852,6.409,-1.892,2.38
-0.452,-0.253,0.859,3.723,0.549,1.526
-0.438,-0.245,0.87,0.549,2.502,0.122
-0.414,-0.227,0.876,-1.892,4.089,-1.16
-0.403,-0.206,0.88,-3.967,5.066,-1.892
-0.406,-0.182,0.892,-4.944,5.432,-2.38
-0.401,-0.157,0.903,-5.127,5.554,-2.319
-0.39,-0.137,0.908,-4.272,5.066,-2.014
-0.372,-0.135,0.907,-2.625,4.272,-1.343
-0.372,-0.146,0.905,-0.916,3.296,-0.671
-0.391,-0.159,0.905,0.427,1.953,0.061
-0.408,-0.161,0.91,1.16,1.282,0.427
-0.408,-0.162,0.901,1.831,1.038,0.793
-0.403,-0.168,0.896,2.625,0.793,1.099
-0.393,-0.181,0.888,2.991,0.732,1.282
-0.391,-0.191,0.887,2.93,0.671,1.404
-0.401,-0.191,0.89,2.38,0.549,1.099
-1.046,-1.316,1.267,-35.095,-125.183,-119.385
-1.572,-1.935,1.271,-33.691,-125.977,-147.827
-2.263,-2.003,1.501,-48.218,-126.221,-143.677
-2.498,-2.037,1.777,-48.523,-112.732,-103.638
-2.178,-2.122,1.736,-24.719,-84.045,-36.682
-1.527,-2.058,1.444,-2.075,-57.8,31.433
-1.008,-1.831,1.118,13.062,-51.086,88.989
-0.735,-1.504,0.925,23.132,-63.599,131.409
-0.652,-1.089,0.911,35.156,-83.679,160.706
-0.663,-0.688,0.986,55.908,-100.83,180.054
-0.688,-0.411,1.065,87.585,-109.009,192.444
-0.661,-0.258,1.095,122.009,-107.605,199.28
-0.623,-0.238,1.111,148.926,-100.159,200.745
-0.65,-0.339,1.066,160.767,-89.539,194.58
-0.655,-0.287,1.04,152.1,-75.867,177.429
-0.694,-0.099,1.024,132.324,-60.303,154.541
-0.727,0.165,1.01,115.051,-43.152,131.714
-0.77,0.281,0.953,107.849,-25.94,111.755
-0.741,0.236,0.834,108.582,-9.583,94.116
-0.684,0.172,0.702,108.337,2.808,78.979
-0.637,0.171,0.583,105.53,11.169,66.833
-0.597,0.224,0.495,103.699,15.564,58.716
-0.557,0.35,0.443,105.957,16.296,55.176
-0.563,0.437,0.432,113.098,13.916,56.335
-0.631,0.34,0.427,120.667,9.766,61.218
-0.678,0.227,0.426,119.507,5.615,65.857
-0.687,0.22,0.426,106.812,2.441,69.031
-0.688,0.325,0.42,88.684,0.061,71.228
-0.664,0.497,0.403,73.486,-1.709,72.51
-0.63,0.745,0.393,66.406,-3.54,72.205
-0.609,0.916,0.391,69.58,-5.981,72.144
-0.625,0.893,0.404,78.491,-9.033,72.327
-0.656,0.688,0.422,81.665,-11.841,71.594
-0.672,0.594,0.456,67.566,-13.611,65.979
-0.687,0.765,0.503,40.527,-13.123,54.077
-0.678,1.013,0.535,16.296,-10.681,39.551
-0.662,1.148,0.538,5.493,-6.775,23.621
-0.635,1.109,0.523,4.089,-2.441,6.531
-0.606,0.959,0.504,3.357,1.282,-10.559
-0.617,0.819,0.507,-3.296,3.906,-27.771
-0.633,0.745,0.518,-14.465,6.226,-42.358
-0.632,0.689,0.525,-25.269,8.728,-53.406
-0.626,0.603,0.522,-33.63,10.925,-61.584
-0.623,0.499,0.513,-40.222,12.634,-68.665
-0.628,0.39,0.517,-46.387,13.611,-74.646
-0.64,0.287,0.533,-53.04,14.343,-79.773
-0.647,0.196,0.559,-59.387,15.076,-84.167
-0.669,0.129,0.587,-64.88,16.541,-86.853
-0.683,0.057,0.595,-69.031,18.616,-88.257
-0.666,0,0.585,-72.144,21.423,-88.867
-0.635,-0.054,0.575,-73.608,23.865,-89.417
-0.612,-0.135,0.581,-74.158,25.818,-89.478
-0.596,-0.223,0.596,-74.951,27.039,-88.806
-0.579,-0.28,0.618,-76.721,28.381,-86.365
-0.586,-0.314,0.649,-78.735,29.907,-82.581
-0.596,-0.351,0.678,-79.224,32.043,-77.332
-0.583,-0.385,0.723,-78.674,35.034,-70.984
-0.627,-0.485,0.771,-77.271,37.415,-64.026
-0.656,-0.609,0.792,-77.454,39.795,-56.091
-0.668,-0.687,0.793,-82.214,41.931,-47.302
-0.664,-0.685,0.783,-89.417,44.312,-38.025
-0.654,-0.626,0.806,-95.154,46.753,-29.114
-0.658,-0.594,0.848,-95.337,49.194,-20.203
-0.668,-0.693,0.857,-91.431,51.147,-12.268
