aX,aY,aZ,gX,gY,gZ
-0.383,-0.022,0.516,26.367,5.737,31.799
-0.322,-0.038,0.574,16.052,2.991,29.236
-0.258,-0.019,0.616,4.333,1.465,23.926
-0.23,0.039,0.669,-5.615,1.282,17.029
-0.189,0.045,0.718,-10.498,1.709,10.193
-0.15,0.04,0.77,-10.132,2.014,3.662
-0.136,0.033,0.805,-5.92,2.502,-2.502
-0.102,-0.021,0.82,0.854,4.089,-6.348
-0.066,-0.099,0.817,6.409,6.653,-8.484
-0.093,-0.161,0.818,8.667,8.301,-9.827
-0.084,-0.205,0.818,7.996,8.24,-10.193
0.062,-0.215,0.811,5.493,6.47,-10.132
0.13,-0.141,0.825,3.601,2.197,-10.742
0.125,-0.091,0.86,5.493,-2.93,-10.498
0.078,-0.114,0.892,10.803,-7.263,-8.606
-0.02,-0.164,0.911,15.015,-9.766,-6.714
-0.075,-0.205,0.925,16.052,-10.742,-5.066
-0.076,-0.224,0.927,13.916,-11.047,-4.456
-0.024,-0.195,0.931,9.766,-10.803,-4.333
0.014,-0.148,0.942,6.226,-11.597,-4.822
0.021,-0.133,0.949,5.249,-12.695,-4.883
-0.024,-0.133,0.96,6.287,-13.489,-4.761
-0.096,-0.138,0.969,7.874,-13.184,-4.578
-0.124,-0.168,0.961,9.521,-11.597,-4.15
-0.094,-0.205,0.938,9.521,-9.644,-4.211
-0.049,-0.198,0.926,7.324,-9.216,-5.554
-0.036,-0.189,0.917,4.7,-10.681,-7.629
-0.041,-0.172,0.902,3.113,-12.817,-8.85
-0.031,-0.187,0.882,2.502,-14.587,-8.301
0.006,-0.206,0.874,1.587,-15.381,-6.897
0.051,-0.215,0.872,-0.61,-16.663,-6.226
0.083,-0.183,0.882,-2.38,-18.799,-6.47
0.089,-0.179,0.89,-2.502,-20.813,-6.287
0.078,-0.21,0.895,-1.038,-21.851,-5.127
0.073,-0.227,0.906,-0.427,-22.156,-4.211
0.082,-0.216,0.919,-0.305,-21.667,-3.723
0.097,-0.201,0.93,-0.122,-20.996,-3.296
0.1,-0.188,0.942,1.587,-20.386,-2.808
0.073,-0.193,0.956,3.967,-19.958,-2.136
0.019,-0.181,0.966,6.165,-18.799,-0.854
0,-0.223,0.96,7.385,-16.174,1.16
0.022,-0.246,0.954,5.92,-12.756,1.892
0.041,-0.214,0.955,1.16,-10.62,-0.061
0.056,-0.175,0.964,-2.441,-9.888,-2.747
0.043,-0.156,0.974,-2.808,-9.766,-5.127
0.034,-0.195,0.976,-0.671,-9.521,-6.958
0.023,-0.232,0.979,1.404,-9.338,-8.423
0.015,-0.27,0.972,1.953,-9.277,-9.216
0.015,-0.298,0.962,1.282,-9.338,-9.033
0.017,-0.305,0.96,-0.732,-9.583,-8.606
0.016,-0.309,0.983,-2.808,-10.071,-8.484
0.038,-0.301,1.002,-3.723,-11.108,-8.789
0.026,-0.266,1.023,-2.441,-11.841,-8.484
0.027,-0.275,1.029,1.038,-11.536,-6.897
0.049,-0.297,1.017,5.005,-10.376,-4.822
0.073,-0.303,1.005,6.897,-8.789,-3.784
0.071,-0.287,1.002,7.141,-7.874,-3.601
0.049,-0.263,1.016,7.324,-7.263,-3.601
0.053,-0.267,1.016,8.301,-6.714,-3.052
0.064,-0.271,1.013,8.545,-6.348,-2.563
0.063,-0.268,1.008,7.69,-5.981,-2.075
0.066,-0.269,1.004,6.287,-5.31,-1.038
0.062,-0.281,1.007,4.395,-4.944,0.671
0.049,-0.284,1.013,1.892,-4.822,2.136
0.029,-0.269,1.008,-0.549,-4.883,3.296
0.019,-0.244,0.994,-1.892,-4.822,4.395
-0.904,-0.487,1.407,-2.991,-249.146,-51.392
-0.893,-0.611,1.308,-6.042,-253.906,-62.622
-0.745,-0.642,1.121,-14.954,-260.132,-74.219
-0.661,-0.53,0.949,-27.405,-270.325,-84.961
-0.724,-0.292,0.853,-37.17,-284.241,-93.018
-1.004,-0.08,0.915,-37.354,-299.5,-93.628
-1.645,-0.224,1.192,-25.696,-305.908,-78.491
-2.38,-0.677,1.588,-8.85,-288.879,-46.814
-2.657,-1.111,1.818,-3.357,-232.544,-14.648
-2.389,-1.16,1.861,-21.362,-143.738,10.803
-1.829,-0.779,1.736,-52.307,-50.476,28.625
-1.203,-0.327,1.486,-70.862,24.17,40.344
-0.697,-0.02,1.21,-65.491,73.914,47.852
-0.393,0.051,1.019,-42.786,98.145,51.208
-0.267,-0.018,0.89,-17.7,104.919,50.72
-0.26,-0.126,0.815,-0.061,102.417,47.363
-0.34,-0.224,0.789,7.812,97.351,42.725
-0.473,-0.303,0.787,7.751,93.994,39.063
-0.623,-0.335,0.811,1.77,94.849,37.781
-0.756,-0.333,0.835,-6.47,99.67,39.124
-0.861,-0.313,0.836,-14.038,107.788,42.847
-0.932,-0.257,0.817,-19.836,118.652,48.096
-0.969,-0.206,0.786,-22.583,130.92,54.565
-0.992,-0.188,0.742,-22.888,143.738,61.279
-1.007,-0.19,0.704,-22.644,154.968,67.444
-1.035,-0.177,0.669,-22.949,163.94,71.838
-1.057,-0.161,0.622,-23.071,171.692,74.768
-1.061,-0.144,0.574,-23.01,178.711,76.538
-1.061,-0.117,0.546,-22.034,184.875,76.843
-1.069,-0.086,0.526,-19.287,189.575,76.111
-1.083,-0.09,0.5,-15.198,191.956,74.341
-1.1,-0.091,0.464,-11.78,192.749,71.167
-1.127,-0.088,0.434,-9.644,192.81,66.284
-1.143,-0.094,0.429,-7.874,192.627,60.73
-1.206,-0.083,0.452,-6.287,191.223,55.115
-1.321,-0.077,0.497,-3.113,190.308,51.086
-1.389,-0.124,0.535,2.197,193.909,50.293
-1.382,-0.179,0.527,5.859,200.928,52.124
-1.299,-0.236,0.487,5.615,207.764,55.176
-1.179,-0.274,0.443,1.587,211.548,58.411
-1.05,-0.288,0.412,-5.554,209.778,60.669
-0.927,-0.268,0.409,-13.672,202.148,61.34
-0.85,-0.214,0.425,-20.325,189.636,60.364
-0.828,-0.136,0.452,-23.01,174.377,59.509
-0.847,-0.085,0.479,-20.508,159.241,59.509
-0.886,-0.06,0.506,-14.038,145.813,60.608
-0.915,-0.076,0.532,-5.737,134.216,61.646
-0.941,-0.127,0.537,1.282,123.718,61.646
-0.936,-0.173,0.535,4.639,114.502,60.425
-0.902,-0.177,0.536,4.15,105.835,57.617
-0.849,-0.14,0.549,1.892,97.229,53.65
-0.79,-0.08,0.593,0.977,89.111,49.561
-0.778,-0.039,0.674,3.357,81.604,46.448
-0.779,-0.054,0.755,8.728,77.026,44.312
-0.716,-0.136,0.798,13.794,78.186,43.03
-0.603,-0.198,0.802,14.709,81.848,40.649
-0.47,-0.204,0.797,11.719,85.388,36.377
-0.316,-0.174,0.8,7.629,86.792,31.494
-0.197,-0.125,0.811,5.432,84.839,26.917
-0.119,-0.097,0.83,6.226,80.566,23.621
-0.098,-0.096,0.84,8.85,75.5,22.278
-0.102,-0.135,0.84,11.841,71.289,23.132
-0.122,-0.186,0.838,12.329,68.359,25.208
-0.135,-0.244,0.835,9.705,66.101,27.527
-0.11,-0.249,0.852,3.845,64.392,29.114
-0.155,-0.179,0.888,-2.686,62.317,30.518
-0.22,-0.133,0.903,-5.676,62.195,32.776
-0.226,-0.125,0.888,-5.981,65.369,36.133
-0.201,-0.131,0.847,-6.653,69.946,38.757
-0.181,-0.155,0.797,-8.85,73.303,39.612
-0.175,-0.158,0.747,-12.573,74.585,38.025
-0.163,-0.123,0.685,-16.785,73.364,34.729
-0.136,-0.069,0.642,-19.592,70.923,30.884
-0.088,-0.023,0.64,-19.348,67.627,27.588
-0.125,0,0.66,-15.686,63.171,24.414
-0.167,-0.034,0.682,-10.132,61.584,22.217
-0.193,-0.088,0.665,-6.226,62.988,19.836
-0.195,-0.13,0.621,-5.493,65.735,17.151
-0.182,-0.134,0.564,-7.507,68.115,14.343
-0.134,-0.115,0.529,-10.559,68.604,11.78
-0.083,-0.078,0.515,-12.207,65.674,9.155
-0.125,-0.069,0.516,-11.169,59.753,7.141
-0.165,-0.12,0.5,-8.667,53.711,6.104
-0.183,-0.159,0.473,-7.69,48.889,4.944
-0.163,-0.155,0.463,-8.484,44.8,3.723
-0.129,-0.141,0.476,-8.606,39.856,1.892
-0.106,-0.138,0.488,-7.08,33.447,0.122
-0.097,-0.137,0.491,-4.15,25.757,-1.465
-0.087,-0.136,0.483,-0.61,18.555,-2.258
-0.078,-0.149,0.474,2.808,11.719,-2.197
-0.069,-0.152,0.496,5.005,5.31,-2.075
-0.04,-0.161,0.544,6.165,-0.977,-2.014
-0.037,-0.168,0.585,7.202,-7.935,-2.686
-0.078,-0.15,0.633,7.874,-14.038,-3.784
-0.134,-0.136,0.674,9.521,-17.639,-4.089
-0.189,-0.144,0.7,11.902,-18.616,-3.479
-0.171,-0.183,0.717,13.855,-17.517,-2.563
-0.047,-0.224,0.722,13.245,-16.785,-2.441
0.058,-0.193,0.728,10.254,-18.555,-4.578
0.121,-0.135,0.751,7.446,-22.217,-7.935
0.154,-0.106,0.785,8.179,-25.696,-10.071
0.165,-0.127,0.833,11.414,-28.137,-10.742
0.143,-0.18,0.883,14.526,-29.053,-11.169
0.133,-0.236,0.93,15.259,-28.076,-11.292
0.154,-0.276,0.954,13.794,-25.269,-11.047
0.191,-0.264,0.955,10.01,-21.667,-10.986
0.214,-0.212,0.948,6.409,-18.066,-10.132
0.23,-0.176,0.941,5.432,-15.442,-7.874
0.209,-0.183,0.944,6.531,-13.794,-5.371
0.179,-0.224,0.949,7.385,-12.939,-3.662
0.155,-0.219,0.96,6.47,-12.329,-3.357
0.13,-0.197,0.952,5.249,-11.78,-3.906
0.112,-0.201,0.931,5.127,-11.292,-3.845
0.097,-0.204,0.911,4.822,-11.047,-3.906
0.078,-0.202,0.897,3.967,-11.719,-4.333
0.058,-0.198,0.9,3.784,-13.062,-5.005
0.052,-0.195,0.903,3.784,-14.587,-5.737
0.027,-0.196,0.913,4.761,-15.808,-6.042
0.002,-0.2,0.923,6.165,-15.198,-5.859
