aX,aY,aZ,gX,gY,gZ
-3.149,-1.324,3.738,-8.362,-356.812,-77.942
-2.979,-2.49,4,26.917,-230.286,-18.799
-2.317,-3,3.931,6.592,-69.885,42.908
-1.28,-2.426,3.437,-58.777,77.026,91.736
-0.464,-1.259,2.972,-116.089,175.903,118.835
-0.001,-0.208,2.716,-118.469,227.112,125.916
0.072,0.215,2.621,-61.279,247.314,122.192
-0.185,-0.065,2.575,20.569,255.31,115.295
-0.614,-0.627,2.542,83.74,266.968,108.398
-1.163,-1.006,2.547,105.835,286.316,106.14
-1.673,-1.089,2.553,96.436,316.65,113.525
-2.121,-0.949,2.479,75.806,353.943,131.226
-2.404,-0.72,2.304,56.824,392.456,158.081
-2.615,-0.551,2.084,44.373,426.453,185.608
-2.893,-0.513,1.869,34.363,450.623,207.642
-3.229,-0.541,1.668,20.508,466.125,222.168
-3.623,-0.564,1.471,0.671,476.135,230.042
-3.942,-0.416,1.234,-25.146,481.445,234.375
-4,-0.078,1.01,-50.537,482.178,234.009
-4,0.218,0.787,-61.584,478.821,227.722
-3.919,0.357,0.57,-57.19,469.177,215.271
-3.763,0.352,0.358,-45.959,452.271,197.876
-3.804,0.28,0.141,-35.889,429.321,172.913
-3.998,0.26,-0.094,-30.762,406.311,141.113
-4,0.319,-0.335,-28.076,389.954,106.628
-3.942,0.393,-0.593,-23.56,379.517,75.195
-3.591,0.443,-0.896,-17.09,369.202,51.025
-3.107,0.503,-1.229,-11.78,350.952,33.936
-2.59,0.589,-1.501,-7.385,319.885,19.531
-2.137,0.636,-1.682,-1.77,274.78,3.967
-1.892,0.602,-1.732,6.409,219.299,-13.672
-1.762,0.45,-1.703,14.282,157.471,-29.541
-1.735,0.26,-1.582,17.212,95.459,-39.246
-1.68,0.132,-1.417,11.536,35.278,-37.109
-1.599,0.097,-1.226,-0.244,-18.982,-25.635
-1.511,0.102,-1.02,-12.695,-67.932,-8.789
-1.424,0.11,-0.814,-22.644,-111.633,6.897
-1.366,0.152,-0.603,-29.236,-147.644,19.47
-1.324,0.215,-0.388,-31.921,-175.11,26.733
-1.257,0.284,-0.187,-29.846,-193.237,28.809
-1.229,0.322,0.003,-23.254,-202.087,26.123
-1.212,0.337,0.167,-13.733,-202.393,18.494
-1.155,0.313,0.289,-3.296,-195.251,7.446
-1.04,0.255,0.355,5.31,-182.983,-5.31
-0.901,0.205,0.376,10.254,-169.983,-19.531
-0.774,0.167,0.386,11.658,-159.363,-35.217
-0.705,0.166,0.404,10.864,-151.428,-51.636
-0.71,0.198,0.44,11.108,-146.606,-67.2
-0.727,0.184,0.478,15.381,-143.86,-79.529
-0.745,0.101,0.515,21.729,-142.7,-87.585
-0.766,-0.017,0.559,26.367,-144.043,-92.346
-0.802,-0.134,0.63,26.55,-147.278,-94.421
-0.853,-0.219,0.712,22.583,-151.367,-94.177
-0.899,-0.257,0.794,15.747,-155.212,-91.309
-0.93,-0.279,0.865,8.667,-158.569,-86.06
-0.938,-0.286,0.929,2.869,-161.499,-79.59
-0.949,-0.278,0.995,-1.343,-164.124,-73.242
-0.991,-0.278,1.089,-3.662,-165.588,-67.871
-1.061,-0.279,1.198,-3.967,-165.039,-63.293
-1.106,-0.276,1.285,-3.54,-161.804,-60.364
-1.107,-0.302,1.325,-2.686,-157.593,-58.533
-1.073,-0.334,1.333,-2.686,-154.114,-57.983
-1.029,-0.359,1.331,-4.272,-153.32,-57.983
-1.005,-0.364,1.339,-7.08,-154.236,-57.739
-1.004,-0.328,1.39,-9.277,-156.799,-57.129
-1.083,-0.31,1.475,-9.033,-159.302,-55.481
-1.155,-0.335,1.557,-6.775,-158.936,-52.612
-1.173,-0.374,1.616,-5.92,-155.151,-50.354
-1.129,-0.388,1.628,-8.179,-149.78,-50.293
-1.071,-0.336,1.634,-12.512,-144.775,-52.002
-1.038,-0.273,1.646,-14.893,-141.357,-54.565
-1.023,-0.218,1.711,-13.367,-138.916,-57.739
-1.06,-0.242,1.776,-7.69,-137.146,-61.951
-1.046,-0.36,1.779,-1.77,-134.521,-66.895
-1.003,-0.443,1.757,-0.244,-131.104,-71.838
-0.962,-0.459,1.738,-2.869,-127.686,-75.989
-0.917,-0.439,1.747,-5.798,-123.474,-78.552
-0.901,-0.422,1.779,-6.104,-118.591,-78.918
-0.871,-0.453,1.779,-4.089,-111.328,-76.416
-0.753,-0.514,1.704,-2.869,-102.112,-71.716
-0.586,-0.536,1.597,-5.798,-93.262,-66.711
-0.439,-0.49,1.516,-10.742,-87.708,-62.683
-0.363,-0.402,1.512,-13.062,-84.9,-60.12
-0.334,-0.385,1.527,-10.132,-82.092,-56.946
-0.327,-0.451,1.543,-5.432,-76.782,-52.368
-0.281,-0.513,1.509,-3.845,-69.031,-47.424
-0.198,-0.523,1.468,-6.104,-59.326,-43.518
-0.132,-0.478,1.459,-9.521,-50.11,-41.016
-0.097,-0.453,1.46,-9.888,-40.894,-39.856
-0.047,-0.448,1.451,-7.751,-30.457,-38.818
0.031,-0.455,1.403,-4.822,-18.982,-37.537
0.093,-0.444,1.342,-1.892,-8.728,-35.706
0.132,-0.43,1.279,1.587,0.183,-32.776
0.15,-0.437,1.22,5.554,8.118,-29.175
0.219,-0.437,1.156,9.766,15.625,-25.208
0.248,-0.387,1.131,14.282,22.339,-21.118
0.267,-0.323,1.129,21.118,28.748,-16.663
0.202,-0.305,1.208,31.372,34.973,-10.681
-0.238,-0.036,1.79,45.837,43.701,-0.793
-0.15,-0.713,2.252,79.651,74.707,26.001
0.732,-1.578,0.785,114.136,124.146,66.101
-0.671,-0.885,1.068,70.374,115.295,71.96
-1.72,-0.392,1.351,25.391,104.309,61.035
-0.975,-0.318,0.792,13.123,121.46,54.749
-0.579,-0.307,1.131,6.775,109.924,49.561
-0.336,-0.302,1.007,11.78,104.98,43.396
-0.517,-0.316,1.006,13,99.976,33.813
-0.539,-0.314,0.962,12.146,95.825,27.1
-0.5,-0.346,0.992,8.85,90.027,20.874
-0.416,-0.262,0.989,7.08,84.29,14.771
-0.447,-0.211,0.972,3.967,77.271,10.437
-0.471,-0.312,0.941,1.587,71.533,7.446
0.058,-0.613,2.209,22.156,-355.164,-40.222
-0.396,-0.798,2.526,25.879,-399.963,-59.753
-0.702,-1.296,2.618,20.63,-419.739,-82.214
-0.515,-1.602,2.386,-5.249,-420.959,-102.112
0.371,-1.568,1.963,-42.48,-421.57,-123.779
0.665,-1.241,1.69,-77.576,-439.697,-145.752
-0.037,-1.367,2.116,-93.689,-464.6,-157.227
-2.688,-0.833,3.832,-98.083,-445.618,-105.896
-3.284,-1.625,4,-43.335,-346.985,-3.174
-1.945,-2.854,4,9.399,-177.246,84.473
-0.85,-2.904,3.992,-9.705,-27.161,140.686
-0.17,-1.984,3.556,-71.228,77.576,160.828
0.052,-0.805,3.28,-110.291,142.944,156.799
-0.122,-0.162,3.173,-93.506,187.378,141.663
-0.515,-0.273,3.074,-36.438,228.821,124.268
-0.946,-0.832,2.959,17.395,272.644,109.558
-1.427,-1.321,2.822,38.33,320.312,101.929
-1.899,-1.441,2.65,26.489,369.08,104.187
-2.288,-1.257,2.428,3.174,416.321,114.014
-2.573,-0.986,2.2,-11.841,458.008,126.831
-2.889,-0.839,1.971,-12.39,488.037,140.564
-3.259,-0.835,1.726,-5.188,507.69,154.175
-3.655,-0.895,1.493,-0.793,518.921,167.603
-3.948,-0.953,1.235,-4.028,524.414,179.382
-4,-0.99,0.944,-15.503,523.376,188.11
-4,-1,0.605,-34.302,520.386,194.214
-4,-0.786,0.247,-59.387,515.564,197.327
-4,-0.415,-0.116,-80.383,505.554,197.571
-4,0.028,-0.424,-85.388,489.38,193.481
-4,0.172,-0.722,-71.228,467.224,185.425
-4,0.652,-1.005,-51.941,440.43,176.086
-4,1.121,-1.12,-27.649,406.677,165.527
-3.71,1.467,-1.362,11.169,367.371,144.226
-3.364,1.372,-1.502,50.476,317.261,112.244
-3.102,1.047,-1.584,74.402,263.733,62.744
-2.909,0.768,-1.567,71.533,212.341,6.104
-2.746,0.616,-1.463,50.232,163.147,-40.771
-2.619,0.513,-1.339,25.757,118.347,-70.679
-2.438,0.469,-1.238,8.667,78.186,-82.275
-2.244,0.391,-1.159,0.305,39.246,-76.904
-2.034,0.304,-1.095,-2.808,4.395,-63.477
-1.844,0.247,-1.004,-3.967,-29.175,-47.974
-1.692,0.226,-0.872,-5.676,-62.561,-33.264
-1.583,0.231,-0.703,-7.935,-94.91,-20.569
-1.496,0.257,-0.513,-10.376,-123.047,-10.681
-1.418,0.312,-0.325,-11.963,-145.386,-5.737
-1.346,0.355,-0.148,-10.925,-161.804,-4.761
-1.26,0.369,0.004,-6.897,-173.035,-7.141
-1.189,0.358,0.146,-2.38,-180.908,-12.573
-1.153,0.35,0.287,1.892,-185.73,-21.179
-1.134,0.323,0.416,6.47,-186.584,-31.982
-1.107,0.271,0.537,10.559,-184.143,-44.25
-1.082,0.192,0.629,13.794,-179.077,-56.335
-1.044,0.119,0.697,14.465,-174.011,-67.444
-1,0.007,0.741,13.062,-169.495,-75.928
-0.966,-0.098,0.8,9.277,-166.809,-83.313
-0.992,-0.156,0.877,4.15,-167.847,-86.609
-1.026,-0.206,0.943,-0.488,-169.556,-85.876
-1.045,-0.261,0.991,-3.296,-170.898,-81.482
-1.057,-0.293,1.042,-5.127,-172.668,-75.439
-1.095,-0.279,1.13,-6.104,-174.622,-68.848
-1.157,-0.301,1.216,-5.127,-176.575,-62.134
-1.181,-0.342,1.265,-4.089,-176.88,-56.458
-1.161,-0.359,1.288,-5.127,-176.147,-52.551
-1.128,-0.329,1.309,-8.179,-175.964,-51.086
-1.104,-0.271,1.349,-11.047,-176.575,-52.002
-1.127,-0.211,1.432,-11.108,-178.65,-54.443
-1.21,-0.188,1.557,-7.629,-180.725,-57.19
-1.297,-0.239,1.672,-2.747,-180.237,-60.12
-1.312,-0.311,1.732,-1.038,-174.927,-62.561
-1.239,-0.358,1.746,-4.517,-166.992,-65.247
-1.155,-0.343,1.732,-11.536,-159.668,-68.359
-1.071,-0.289,1.71,-17.883,-153.748,-70.801
-1.013,-0.241,1.719,-19.958,-148.865,-72.327
-1.02,-0.229,1.79,-16.968,-144.226,-72.388
-1.078,-0.315,1.885,-11.108,-137.451,-70.313
-1.067,-0.448,1.93,-8.362,-126.587,-66.467
-0.911,-0.522,1.907,-13.306,-112.244,-62.866
-0.738,-0.479,1.85,-24.17,-99.243,-61.462
-0.596,-0.365,1.793,-33.508,-90.698,-61.646
-0.505,-0.287,1.803,-36.743,-84.473,-61.768
-0.487,-0.341,1.85,-33.508,-78.247,-60.669
-0.421,-0.508,1.855,-29.297,-69.275,-58.411
-0.278,-0.611,1.797,-31.616,-57.617,-55.359
-0.073,-0.587,1.687,-38.696,-46.387,-51.941
0.077,-0.462,1.594,-43.64,-38.33,-48.401
0.189,-0.362,1.545,-39.917,-32.593,-45.166
0.279,-0.327,1.534,-27.771,-26.917,-42.603
0.361,-0.419,1.496,-12.573,-19.897,-38.94
0.427,-0.499,1.448,-1.831,-12.207,-33.752
0.387,-0.433,1.51,3.845,-5.554,-26.367
-0.121,0.108,2.335,12.512,5.432,-12.939
0.371,-1.103,2.755,59.204,47.729,20.813
1.966,-1.858,1.458,103.577,111.023,67.505
1.189,-2.2,3.437,59.326,112.488,91.003
1.97,-1.575,1.787,16.602,159.851,118.53
-0.351,-0.515,1.693,-0.793,173.767,121.155
-1,-0.644,1.061,13.855,165.649,87.646
-0.33,-1.004,1.219,13.184,153.198,58.044
0.251,-0.264,1.279,3.235,130.005,41.87
-0.069,-0.548,1.08,0.305,116.272,18.738
-0.405,-0.498,0.984,-8.057,105.774,4.639
-0.392,0.003,1.028,-19.958,95.581,1.343
-0.387,0.06,1,-18.555,89.233,1.221
-0.418,-0.048,0.984,-11.963,83.618,4.333
